Ticker,Industry,Sector
QBTS,Quantum Computing,Technology
QUBT,Quantum Computing,Technology
IONQ,Quantum Computing,Technology
RGTI,Quantum Computing,Technology
INFQ,Quantum Computing,Technology
QNT,Quantum Computing,Technology
RIOT,Data Center - Crypto Mining,Technology
CLSK,Data Center - Crypto Mining,Technology
CIFR,Data Center - Crypto Mining,Technology
MARA,Data Center - Crypto Mining,Technology
BTDR,Data Center - Crypto Mining,Technology
WULF,Data Center - Crypto Mining,Technology
IREN,Data Center - Crypto Mining,Technology
APLD,Data Center - Crypto Mining,Technology
HUT,Data Center - Crypto Mining,Technology
CORZ,Data Center - Crypto Mining,Technology
MSTR,Crypto - Blockchain,Financial Services
BMNR,Crypto - Blockchain,Financial Services
PURR,Crypto - Blockchain,Financial Services
CRCL,Crypto - Blockchain,Financial Services
FIGR,Crypto - Blockchain,Financial Services
SBET,Crypto - Blockchain,Financial Services
BTBT,Crypto - Blockchain,Financial Services
ARQQ,Quantum Computing,Technology
EVTL,eVTOL,Industrials
ACHR,eVTOL,Industrials
JOBY,eVTOL,Industrials
EH,eVTOL,Industrials
XTIA,eVTOL,Industrials
BETA,eVTOL,Industrials
SRFM,eVTOL,Industrials
EVEX,eVTOL,Industrials
HOVR,eVTOL,Industrials
LITE,Optical & Photonics,Technology
COHR,Optical & Photonics,Technology
AAOI,Optical & Photonics,Technology
AXTI,Optical & Photonics,Technology
LWLG,Optical & Photonics,Technology
VIAV,Optical & Photonics,Technology
IPGP,Optical & Photonics,Technology
LASR,Optical & Photonics,Technology
FN,Optical & Photonics,Technology
OPTX,Optical & Photonics,Technology
MTSI,Optical & Photonics,Technology
POET,Optical & Photonics,Technology
GLW,Optical & Photonics,Technology
CIEN,Optical & Photonics,Technology
CRWD,Cyber Security,Technology
PANW,Cyber Security,Technology
FTNT,Cyber Security,Technology
ZS,Cyber Security,Technology
OKTA,Cyber Security,Technology
S,Cyber Security,Technology
SAIL,Cyber Security,Technology
VRNS,Cyber Security,Technology
CHKP,Cyber Security,Technology
QLYS,Cyber Security,Technology
RPD,Cyber Security,Technology
TENB,Cyber Security,Technology
NET,Cyber Security,Technology
RBRK,Cyber Security,Technology
ATEN,Cyber Security,Technology
RDWR,Cyber Security,Technology
BLSH,Crypto - Blockchain,Financial Services
COIN,Crypto - Blockchain,Financial Services
RKLB,Space,Industrials
ASTS,Space,Industrials
MDA,Space,Industrials
SPCE,Space,Industrials
PL,Space,Industrials
BKSY,Space,Industrials
LUNR,Space,Industrials
RDW,Space,Industrials
SPIR,Space,Industrials
VOYG,Space,Industrials
MNTS,Space,Industrials
FLY,Space,Industrials
SIDU,Space,Industrials
DQ,Solar,Technology
KEEL,Data Center - Crypto Mining,Technology
