Ticker,Sector,Industry
SNDK,Technology,Computer Hardware
Q,Technology,Semiconductor Equipment & Materials
AERO,Industrials,Airlines
AGBK,Financial,Banks - Regional
AGCC,Consumer Defensive,Beverages - Wineries & Distilleries
AGMB,Healthcare,Biotechnology
AKTS,Healthcare,Biotechnology
ANDG,Consumer Cyclical,Personal Services
APC,Energy,Oil & Gas Refining & Marketing
BETA,Industrials,Aerospace & Defense
BLLN,Healthcare,Diagnostics & Research
BOBS,Consumer Cyclical,Specialty Retail
BTGO,Financial,Capital Markets
CBC,Financial,Banks - Regional
CDNL,Industrials,Engineering & Construction
EIKN,Healthcare,Biotechnology
EQPT,Industrials,Rental & Leasing Services
EVMN,Healthcare,Biotechnology
FPS,Industrials,Electrical Equipment & Parts
FRMI,Real Estate,REIT - Specialty
GENB,Healthcare,Biotechnology
INFQ,Technology,Software - Infrastructure
LIFE,Financial,Insurance Brokers
LMRI,Healthcare,Medical Devices
MANE,Healthcare,Biotechnology
MDA,Industrials,Aerospace & Defense
MDLN,Healthcare,Medical Instruments & Supplies
MICC,Consumer Defensive,Packaged Foods
MPLT,Healthcare,Biotechnology
MWH,Utilities,Utilities - Renewable
NAVN,Technology,Software - Application
NINE,Energy,Oil & Gas Equipment & Services
OFRM,Consumer Defensive,Packaged Foods
PAYP,Technology,Software - Infrastructure
PICS,Technology,Software - Infrastructure
PLYX,Healthcare,Biotechnology
PPHC,Industrials,Consulting Services
PPLC,Utilities,Utilities - Regulated Electric
PURR,Financial,Capital Markets
RVI,Financial,Asset Management
SGP,Healthcare,Biotechnology
SOLS,Basic Materials,Specialty Chemicals
SUNB,Industrials,Rental & Leasing Services
SUNC,Energy,Oil & Gas Midstream
SWMR,Industrials,Aerospace & Defense
VSNT,Communication Services,Entertainment
WLTH,Technology,Software - Application
XZO,Financial,Insurance - Diversified
YSS,Industrials,Aerospace & Defense
AAOI,Technology,Communication Equipment
ALMR,Healthcare,Medical Instruments & Supplies
ARXS,Industrials,Aerospace & Defense
AVEX,Industrials,Aerospace & Defense
ELMT,Industrials,Aerospace & Defense
HMH,Energy,Oil & Gas Equipment & Services
KLRA,Healthcare,Biotechnology
LABT,Healthcare,Biotechnology
MAIR,Industrials,Building Products & Equipment
NHP,Real Estate,REIT - Healthcare Facilities
NICM,Basic Materials,Other Industrial Metals & Mining
TMCR,Basic Materials,Other Industrial Metals & Mining
TRAX,Healthcare,Biotechnology
VGNT,Consumer Cyclical,Auto Parts
YSWY,Consumer Defensive,Grocery Stores
HQ,Technology,Quantum Computing
XNDU,Technology,Quantum Computing
AXTI,Technology,Semiconductor Equipment & Materials
LWLG,Basic Materials,Specialty Chemicals
AVLN,Healthcare,Biotechnology
COAG,Healthcare,Biotechnology
HAWK,Industrials,Aerospace & Defense
PS,Financial,Asset Management
REA,Basic Materials,Other Industrial Metals & Mining
SBMT,Basic Materials,Other Industrial Metals & Mining
SPTX,Healthcare,Biotechnology
SUJA,Consumer Defensive,Beverages - Non-Alcoholic
XE,Industrials,Specialty Industrial Machinery
CBRS,Technology,Semiconductors
AADX,Industrials,Aerospace & Defense
AIAI,Industrials,Conglomerates
AMSS,Consumer Defensive,Beverages - Wineries & Distilleries
BXDC,Real Estate,REIT - Specialty
EROC,Industrials,Specialty Industrial Machinery
EROK,Energy,Oil & Gas Equipment & Services
EXYN,Technology,Software - Infrastructure
FDXF,Industrials,Integrated Freight & Logistics
FRBT,Financial,Banks - Regional
FRVO,Utilities,Utilities - Renewable
GMRS,Healthcare,Medical Care Facilities
INIO,Industrials,Specialty Industrial Machinery
LCLN,Financial,Capital Markets
LFTO,Communication Services,Advertising Agencies
MWC,Consumer Cyclical,Auto Parts
OCTV,Technology,Software - Application
PBLS,Healthcare,Biotechnology
QNT,Technology,Software - Application
SPCX,Industrials,Space
SSMR,Basic Materials,Other Industrial Metals & Mining
VIDA,Technology,Software - Application
WHK,Energy,Oil & Gas E&P
AGL,Healthcare,Medical Care Facilities
MXL,Technology,Semiconductors
CRWD,Technology,Cyber Security
BSP,Technology,Software - Application
CSQR,Technology,Information Technology Services
DPC,Industrials,Aerospace & Defense
ITG,Industrials,Engineering & Construction
LIME,Industrials,Rental & Leasing Services
MBGL,Technology,Software - Infrastructure
MFP,Industrials,Specialty Industrial Machinery
OPI,Real Estate,REIT - Office
QMLS,Technology,Software - Infrastructure
SIND,Basic Materials,Other Precious Metals & Mining
SKHY,Technology,Semiconductors
STDN,Basic Materials,Specialty Chemicals
ADBT,Technology,Software - Application
ADIG,Technology,Computer Hardware
APMD,Healthcare,Biotechnology
ASBH,Financial,Banks - Regional
ATTO,Healthcare,Biotechnology
BCCQ,Financial,Shell Companies
BLSM,Healthcare,Biotechnology
BRKH,Financial,Shell Companies
BRTM,Financial,Shell Companies
BRVE,Healthcare,Biotechnology
ETRA,Healthcare,Biotechnology
EWAV,Financial,Shell Companies
FBDT,Industrials,Aerospace & Defense
FWAC,Financial,Shell Companies
GYGY,Technology,Software - Infrastructure
HYAC-U,Financial,Shell Companies
IOND,Financial,Capital Markets
IPHXU,Financial,Shell Companies
JMKE,Consumer Cyclical,Restaurants
LEDRU,Financial,Shell Companies
LTGO,Healthcare,Biotechnology
LYNX,Industrials,Aerospace & Defense
MIAC,Financial,Shell Companies
OIG,Financial,Insurance - Property & Casualty
QVCG,Consumer Cyclical,Specialty Retail
REF,Consumer Cyclical,Apparel Retail
SCTX,Healthcare,Biotechnology
VII,Financial,Shell Companies
VOGX,Healthcare,Biotechnology
